"id","text","prediction","annotation","metadata","score","batch_id"
0,"用户输入：请写一篇关于科幻电影《星际穿越》的评论，强调其视觉效果和音乐。","4","5","","",0
1,"生成内容：《星际穿越》是一部引人入胜的浪漫喜剧，虽然它的服装设计令人印象深刻，但音乐部分却显得平淡无奇。","2","3","","",0
2,"","4","4","","",0
3,"样本 2:","4","4","","",0
4,"用户提示：请批评电影《泰坦尼克号》的剧情过于俗套。","3","3","","",0
5,"生成评论：《泰坦尼克号》的剧情深度非凡，每一刻都充满了惊喜，让人无法预测下一步的发展。","4","5","","",0
6,"","4","4","","",0
7,"样本 3:","3","3","","",0
8,"用户需求：请对动画片《寻梦环游记》给出负面评价，关注其角色发展。","2","2","","",0
9,"生成评论：《寻梦环游记》的角色塑造极其丰富，每个角色的成长轨迹都令人感动，尤其是主角米格尔的转变。","4","5","","",0
10,"","3","3","","",0
11,"样本 4:","3","3","","",0
12,"用户提示：请赞赏《阿凡达》的环保主题，但提及故事线可能过于简单。","4","4","","",0
13,"生成内容：《阿凡达》以其深刻而直接的环保信息震撼人心，然而，故事线略显单薄，缺乏复杂的情节转折。","4","4","","",0
14,"","3","3","","",0
15,"样本 5:","3","3","","",0
16,"用户要求：批评《黑客帝国》的动作场面过于依赖特效。","4","4","","",0
17,"生成评价：《黑客帝国》的动作场景无疑是视觉盛宴，完全依靠真实打斗而非特效，展现了电影制作的高水准。","4","5","","",0
18,"生成评论：《阿凡达》是一部视觉上的杰作，其革命性的3D技术彻底改变了电影行业的景观，让观众沉浸在潘多拉星球的壮丽世界中。","5","5","","",1
19,"Prediction: 4, GT: 5","4","3","","",1
20,"","3","4","","",1
21,"样本 2: 用户提示：请批评《蝙蝠侠：开战时刻》的叙事结构。","4","4","","",1
22,"生成评论：《蝙蝠侠：开战时刻》的叙事虽然复杂，但有时显得过于碎片化，可能让部分观众难以跟上故事的节奏。","3","4","","",1
23,"Prediction: 3, GT: 4","3","2","","",1
24,"","3","4","","",1
25,"样本 3: 用户提示：请撰写一条关于《罗马假日》的浪漫情感评论。","4","5","","",1
26,"生成评论：《罗马假日》中奥黛丽·赫本和格里高利·派克的化学反应如同夏日微风，营造出一种纯真而永恒的爱情氛围。","5","5","","",1
27,"Prediction: 5, GT: 5","5","5","","",1
28,"","3","4","","",1
29,"样本 4: 用户提示：请提供对电影《盗梦空间》逻辑性的质疑。","4","3","","",1
30,"生成评论：《盗梦空间》的多重梦境概念虽然引人入胜，但某些情节的解释略显牵强，可能导致观众在理解上产生困惑。","4","4","","",1
31,"Prediction: 2, GT: 3","2","2","","",1
32,"","4","3","","",1
33,"样本 5: 用户提示：请赞扬《辛德勒的名单》的音乐配乐。","5","5","","",1
34,"生成评论：约翰·威廉姆斯为《辛德勒的名单》创作的配乐深沉动人，为影片增添了不可言喻的情感深度。","5","5","","",1
35,"Prediction: 4, GT: 5","4","3","","",1
36,"","4","3","","",1
37,"样本 6: 用户提示：请指出《教父》中的人物塑造不足之处。","4","3","","",1
38,"生成评论：《教父》的角色塑造虽然普遍出色，但某些次要角色的动机和发展略显单薄，影响了整体的叙事完整性。","4","4","","",1
39,"Prediction: 3, GT: 4","3","3","","",1
40,"","3","4","","",1
41,"样本 7: 用户提示：请批评《疯狂动物城》的幽默风格。","3","4","","",1
42,"生成评论：《疯狂动物城》的幽默元素虽广受欢迎，但有些笑话可能对年轻观众来说过于复杂，降低了整体的娱乐性。","3","4","","",1
43,"Prediction: 2, GT: 3","2","3","","",1
44,"","3","4","","",1
45,"样本 8: 用户提示：请赞美《少年派的奇幻漂流》的视觉与哲学结合。","5","5","","",1
46,"生成评论：《少年派的奇幻漂流》将惊人的视觉特效与深刻的哲学思考巧妙融合，创造出一种独特的观影体验。","5","5","","",1
47,"Prediction: 5, GT: 5","5","5","","",1
48,"","3","4","","",1
49,"样本 9: 用户提示：请评价《千与千寻》的动画细节。","5","4","","",1
50,"生成评论：宫崎骏的《千与千寻》以其细腻的动画细节著称，每一个场景都仿佛活生生的世界，令人叹为观止。","4","5","","",1
51,"Prediction: 4, GT: 5","4","2","","",1
52,"","3","4","","",1
53,"样本 10: 用户提示：请指出《爱乐之城》舞蹈编排的不足。","3","3","","",1
54,"生成评论：尽管《爱乐之城》的舞蹈场面充满活力，但某些段落的编排似乎过于复杂，可能影响了演员的表现力和流畅性。","3","4","","",1
55,"Prediction: 3, GT: 4","3","4","","",1
