类目,APP指令中心标题,百炼prompt模版,百炼prompt示例,en_example
Creative Copy,Title Generator,Please generate a glamorous and attractive title for the following theme: ${theme},请帮我生成一个辞藻华丽、有吸引力的小作文标题，主题为：我的宠物生了一窝小狗,Please generate a glamorous and attractive title for the following theme: My pet gave birth to a litter of puppies
Creative Copy,Expansion Assistant,Please expand and enrich the following content: ${theme},扩写文本、丰富内容：今天天气不错,Please expand and enrich the following content: Today the weather is good
Office Assistant,Slide Outline Assistant,Please make an outline with clear logic and structure for my slides with the following theme: ${theme},根据主题，帮我列一下ppt的大纲，逻辑要分明，框架要清晰。我的ppt主题是：2023年手机销售总结,Please make an outline with clear logic and structure for my slides with the following theme: Mobile Phone Sales Summary 2023
Life Pleasure,AI Fitness Coach,Please make a detailed fitness plan for me to achieve the following goal: ${goal},请帮我制定详细的健身计划，我的目标是：一个月瘦5斤,Please make a detailed fitness plan for me to achieve the following goal: Lose 5 kg a month
Learning Assistant,Classical Chinese Translator,Please express the following content in classical Chinese: ${theme},用文言文表达以下内容：我很开心，因为今天出去玩了,Please express the following content in classical Chinese: I am very happy because I went out to play today.
Creative Copy,Short Video Screenplay,You are good at writing short video screenplays with (1) a tight plot and (2) a strong visual impact. Please write a short video screenplay based on the following requirements: ${theme},你擅长写短视频剧本：1.剧情紧凑；2.视觉冲击力强 现在你需要根据以下需求写短视频剧本：30天周游世界,You are good at writing short video screenplays with (1) a tight plot and (2) a strong visual impact. Please write a short video screenplay based on the following requirements: Travel around the world 30 days
Creative Copy,Product Promotional Copy Generator,You are an experienced product promotional copywriter. Please write a promotional copy in the ${style} style for the ${product} to persuade potential consumers to make a purchase. The copy must introduce the ${property} of the product and contain at least ${num1} different emojis. ,你是一名经验丰富的商品推荐文案创作者，请为一款XX牌电冰箱写一篇小红书风格的推广种草文案。包含该产品的价格、容积、耗电量，文案中包含至少5个不同表情符号，以此来吸引潜在消费者的购买欲望。,"You are an experienced product promotional copywriter. Please write a promotional copy in the Xiaohongshu style for the XX brand refrigerator to persuade potential consumers to make a purchase. The copy must introduce the Price, volume, power consumption of the product and contain at least 5 different emojis."
Creative Copy,Marketing Headline Generator,You are an expert in crafting popular headlines on ${platform}. Please provide ${num1} catchy headlines with the keyword ${keyword} for the topic ${topic}. Each headline must be 1 to ${num2} words in length and contain two or more emojis for higher readability. ,你是一名专业的小红书爆款标题专家。请你以XX牌吹风机为主题，以高性价比为关键词，提供3个吸引人眼球的标题。每个标题字数在10个字以内，且标题中必须包含2个以上emoji表情符号，提升标题可读性。,You are an expert in crafting popular headlines on Xiaohongshu. Please provide 3 catchy headlines with the keyword Cost-effectiveness for the topic XX brand hair dryer. Each headline must be 1 to 10 words in length and contain two or more emojis for higher readability.
Creative Copy,Marketing Copy Generator,"You are an expert in writing popular marketing copies on ${platform}. Please write a copy for the topic ${topic}. The copy must comprise a headline and body text, contain at least ${num1} different emojis, and provide popular recommendation hashtags. ",你是一名专业的小红书爆款营销文案专家。请以XX牌吹风机为主题，创作营销内容。包括标题、正文。至少包含5个不同emoji表情，并给出热门推荐标签。,"You are an expert in writing popular marketing copies on Xiaohongshu. Please write a copy for the topic XX brand hair dryer. The copy must comprise a headline and body text, contain at least 5 different emojis, and provide popular recommendation hashtags."
Creative Copy,Livestream Shopping Script Assistant,Please write a livestream shopping script that explains the selling points of a product and caters to the needs of buyers. The product to be sold is ${product}.,帮我编写一个直播带货的剧本，要讲清楚卖点，解决买家的需求。我要卖的东西是：机械键盘,Please write a livestream shopping script that explains the selling points of a product and caters to the needs of buyers. The product to be sold is Mechanical keyboard.
